shipment_id,invoice_date,base_rate,fuel_surcharge_pct,fuel_surcharge_amount,guarantee_fee,total_billed
SHP-00000000,2011-07-14,8.0,0.1478,1.18,0.0,9.18
SHP-00000001,2011-07-14,27.88,0.1478,4.12,0.0,32.0
SHP-00000002,2011-07-14,22.24,0.1478,3.29,0.0,25.53
SHP-00000003,2011-07-13,28.87,0.1478,4.27,0.0,33.14
SHP-00000004,2011-07-13,25.0,0.1478,3.69,0.0,28.69
SHP-00000005,2011-07-13,26.52,0.1478,3.92,0.0,30.44
SHP-00000006,2011-07-14,26.82,0.1478,3.96,0.0,30.78
SHP-00000007,2011-07-14,13.92,0.1478,2.06,0.0,15.98
SHP-00000008,2011-07-14,24.13,0.1478,3.57,0.0,27.7
SHP-00000009,2011-07-14,22.43,0.1478,3.32,8.0,33.75
SHP-00000010,2011-07-14,24.83,0.1478,3.67,0.0,28.5
SHP-00000011,2011-07-14,15.0,0.1478,2.22,0.0,17.22
SHP-00000012,2011-07-14,21.61,0.1478,3.19,0.0,24.8
SHP-00000013,2011-07-14,9.85,0.1478,1.46,0.0,11.31
SHP-00000014,2011-07-14,18.67,0.1478,2.76,0.0,21.43
SHP-00000015,2011-07-13,8.0,0.1478,1.18,5.0,14.18
SHP-00000016,2011-07-14,25.98,0.1478,3.84,0.0,29.82
SHP-00000017,2011-07-14,18.35,0.1478,2.71,0.0,21.06
SHP-00000018,2011-07-14,9.19,0.1478,1.36,0.0,10.55
SHP-00000019,2011-07-14,8.0,0.1478,1.18,0.0,9.18
SHP-00000020,2011-07-14,9.8,0.1478,1.45,0.0,11.25
SHP-00000021,2011-07-14,12.84,0.1478,1.9,0.0,14.74
SHP-00000022,2011-07-14,10.63,0.1478,1.57,0.0,12.2
SHP-00000023,2011-07-13,25.0,0.1478,3.69,0.0,28.69
SHP-00000024,2011-07-14,8.0,0.1478,1.18,0.0,9.18
SHP-00000025,2011-07-14,17.5,0.1478,2.59,0.0,20.09
SHP-00000026,2011-07-14,15.0,0.1478,2.22,0.0,17.22
SHP-00000027,2011-07-14,15.0,0.1478,2.22,8.0,25.22
SHP-00000028,2011-07-13,16.08,0.1478,2.38,0.0,18.46
SHP-00000029,2011-07-14,17.95,0.1478,2.65,0.0,20.6
SHP-00000030,2011-07-14,21.07,0.1478,3.11,0.0,24.18
SHP-00000031,2011-07-14,21.29,0.1478,3.15,0.0,24.44
SHP-00000032,2011-07-13,8.0,0.1478,1.18,0.0,9.18
SHP-00000033,2011-07-14,13.96,0.1478,2.06,0.0,16.02
SHP-00000034,2011-07-13,14.74,0.1478,2.18,0.0,16.92
SHP-00000035,2011-07-14,19.85,0.1478,2.93,0.0,22.78
SHP-00000036,2011-07-13,15.42,0.1478,2.28,0.0,17.7
SHP-00000037,2011-07-14,9.22,0.1478,1.36,0.0,10.58
SHP-00000038,2011-07-14,24.64,0.1478,3.64,0.0,28.28
SHP-00000039,2011-07-14,19.13,0.1478,2.83,0.0,21.96
SHP-00000040,2011-07-14,29.77,0.1478,4.4,5.0,39.17
SHP-00000041,2011-07-14,27.74,0.1478,4.1,0.0,31.84
SHP-00000042,2011-07-14,15.14,0.1478,2.24,0.0,17.38
SHP-00000043,2011-07-14,24.56,0.1478,3.63,0.0,28.19
SHP-00000044,2011-07-14,8.0,0.1478,1.18,5.0,14.18
SHP-00000045,2011-07-14,26.76,0.1478,3.96,0.0,30.72
SHP-00000046,2011-07-14,21.2,0.1478,3.13,0.0,24.33
SHP-00000047,2011-07-14,8.14,0.1478,1.2,0.0,9.34
SHP-00000048,2011-07-14,14.35,0.1478,2.12,0.0,16.47
SHP-00000049,2011-07-13,20.95,0.1478,3.1,0.0,24.05
SHP-00000050,2011-07-14,23.3,0.1478,3.44,0.0,26.74
SHP-00000051,2011-07-14,8.0,0.1478,1.18,5.0,14.18
SHP-00000052,2011-07-14,8.0,0.1478,1.18,0.0,9.18
SHP-00000053,2011-07-14,20.57,0.1478,3.04,0.0,23.61
SHP-00000054,2011-07-14,8.0,0.1478,1.18,5.0,14.18
