shipment_id,booking_timestamp,promised_delivery_date,region,customer_type,service_tier,is_guaranteed,weight_kg
SHP-00000000,2011-07-13T08:40:56.139636,2011-07-16,Atlantic,RESIDENTIAL,GROUND,False,3.62
SHP-00000001,2011-07-13T17:52:54.265014,2011-07-16,Calgary-Edmonton,RESIDENTIAL,GROUND,False,23.23
SHP-00000002,2011-07-13T16:58:01.421036,2011-07-16,GTA,COMMERCIAL,GROUND,False,18.53
SHP-00000003,2011-07-13T07:07:17.617848,2011-07-16,GTA,RESIDENTIAL,GROUND,False,24.06
SHP-00000004,2011-07-13T09:43:06.971432,2011-07-13,Montreal,RESIDENTIAL,SAME_DAY,False,1.71
SHP-00000005,2011-07-13T11:10:24.165272,2011-07-16,Montreal,RESIDENTIAL,GROUND,False,22.1
SHP-00000006,2011-07-13T16:23:37.800873,2011-07-16,Calgary-Edmonton,RESIDENTIAL,GROUND,False,22.35
SHP-00000007,2011-07-13T15:52:45.639317,2011-07-16,GTA,RESIDENTIAL,GROUND,False,11.6
SHP-00000008,2011-07-13T18:02:59.410133,2011-07-16,Montreal,RESIDENTIAL,GROUND,False,20.11
SHP-00000009,2011-07-13T10:39:02.147585,2011-07-15,Calgary-Edmonton,COMMERCIAL,EXPRESS,True,8.97
SHP-00000010,2011-07-13T18:11:54.681007,2011-07-16,Calgary-Edmonton,COMMERCIAL,GROUND,False,20.69
SHP-00000011,2011-07-13T19:35:08.190796,2011-07-15,Montreal,COMMERCIAL,EXPRESS,False,1.83
SHP-00000012,2011-07-13T06:01:25.240422,2011-07-16,Vancouver,RESIDENTIAL,GROUND,False,18.01
SHP-00000013,2011-07-13T10:19:47.946975,2011-07-16,Vancouver,RESIDENTIAL,GROUND,False,8.21
SHP-00000014,2011-07-13T10:30:41.361179,2011-07-16,Montreal,RESIDENTIAL,GROUND,False,15.56
SHP-00000015,2011-07-13T06:20:31.039541,2011-07-16,GTA,COMMERCIAL,GROUND,True,5.78
SHP-00000016,2011-07-13T18:23:47.446358,2011-07-16,Vancouver,RESIDENTIAL,GROUND,False,21.65
SHP-00000017,2011-07-13T19:18:01.996266,2011-07-16,GTA,RESIDENTIAL,GROUND,False,15.29
SHP-00000018,2011-07-13T16:53:14.811701,2011-07-16,Vancouver,RESIDENTIAL,GROUND,False,7.66
SHP-00000019,2011-07-13T11:42:23.008231,2011-07-16,GTA,RESIDENTIAL,GROUND,False,2.54
SHP-00000020,2011-07-13T11:27:35.327062,2011-07-16,Calgary-Edmonton,COMMERCIAL,GROUND,False,8.17
